Elección extraordinaria para la Senaduría del estado de Tamaulipas 2023
20/02/2023 00:00 (UTC-6)
ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_CATALOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA
4778,3864,4,3860,80.7869,3801,79.5521,18.0828,59,2233443,466713,466713,20.8965
CLAVE_CASILLA,CLAVE_ACTA,ID_ENTIDAD,ENTIDAD,ID_DISTRITO_FEDERAL,DISTRITO_FEDERAL,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,PVEM,PT,MORENA,PAN-PRI-PRD,PAN-PRI,PAN-PRD,PRI-PRD,PT-MORENA,NO_REGISTRADAS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,CODIGO_INTEGRIDAD,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO,COTEJADA
'280750E0103','280750E01032',28,TAMAULIPAS,001,Nuevo Laredo,0750,01,E,03,1,2,544,128,2,130,15,7,0,1,5,95,0,0,0,0,3,0,4,130,130,662,13, ,1,F,11fd9a3d54fe8d18ac95d5eaee0d76974b4d2b8c6ce1eecc60dc7fee0115279f,19/02/2023 20:26:00,19/02/2023 23:49:49,19/02/2023 23:50:37,CATD,Escáner,Acta PREP,1
'280750E0104','280750E01042',28,TAMAULIPAS,001,Nuevo Laredo,0750,01,E,04,1,2,559,111,3,114,18,2,0,2,3,83,0,0,0,0,5,0,1,114,114,661,18, ,1,F,80c18c7034b3bfa6ba3181288b6ec4ef2e1f90ce4496bcff1d412e9a4143a63a,19/02/2023 18:49:44,19/02/2023 19:08:33,19/02/2023 19:08:55,CASILLA,Móvil,Acta PREP,1
'280750E0105','280750E01052',28,TAMAULIPAS,001,Nuevo Laredo,0750,01,E,05,1,2,558,113,2,115,17,5,0,2,0,82,1,1,0,1,4,0,2,115,115,661,12,,1,,25e7fd1495a1bd7e2ac59d9ac77cc143e148da86db5f744754a237bee46e0445,19/02/2023 19:16:24,19/02/2023 21:59:05,19/02/2023 22:00:07,CASILLA,Móvil,Acta PREP,1
'280751B0100','280751B01002',28,TAMAULIPAS,001,Nuevo Laredo,0751,01,B,00,1,2,558,152,4,156,20,4,3,7,8,105,0,1,0,1,2,0,5,156,156,702,2,,1,I,c89069f6aa9850bc1ce7d1150e7bd803ca2c9a199a612795a4be7f7a2a967415,19/02/2023 20:11:01,19/02/2023 20:33:25,19/02/2023 20:34:26,CASILLA,Móvil,Acta PREP,1
'280752B0100','280752B01002',28,TAMAULIPAS,001,Nuevo Laredo,0752,01,B,00,1,2,511,155,2,157,23,9,1,1,4,105,1,0,2,0,3,3,5,157,157,657,10, ,1,D,675889c05b40c449354315d2304825335762f33667d2be10f71e20bd792c6e5c,19/02/2023 19:12:57,19/02/2023 21:38:28,19/02/2023 21:39:03,CASILLA,Móvil,Acta PREP,1
'280752C0100','280752C01002',28,TAMAULIPAS,001,Nuevo Laredo,0752,01,C,00,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,656,9, ,-,-,-,-,-,-,-,-,-,-
'280753B0100','280753B01002',28,TAMAULIPAS,001,Nuevo Laredo,0753,01,B,00,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,611,8, ,-,-,-,-,-,-,-,-,-,-
'280753C0100','280753C01002',28,TAMAULIPAS,001,Nuevo Laredo,0753,01,C,00,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,610,8, ,-,-,-,-,-,-,-,-,-,-
'280754B0100','280754B01002',28,TAMAULIPAS,001,Nuevo Laredo,0754,01,B,00,1,2,472,109,2,111,15,4,1,3,3,80,0,0,0,0,3,0,2,111,111,571,9, ,1,D,ba275fba224894fde755c72d4d6900625fbdb863313bbcf17d9423d76771a3e4,19/02/2023 19:41:59,19/02/2023 20:34:18,19/02/2023 20:34:43,CASILLA,Móvil,Acta PREP,1
'280754C0100','280754C01002',28,TAMAULIPAS,001,Nuevo Laredo,0754,01,C,00,1,2,470,109,3,112,16,5,1,1,3,75,0,1,0,0,4,0,6,112,112,570,1,,1,F,d359cf262fbc2a03cfa63936cc6d4df7ede7cf8e7221c3cee12b3756524d2a72,19/02/2023 19:39:31,19/02/2023 21:50:20,19/02/2023 21:50:48,CASILLA,Móvil,Acta PREP,1
'280754C0200','280754C02002',28,TAMAULIPAS,001,Nuevo Laredo,0754,02,C,00,1,2,473,106,3,109,13,3,5,3,5,73,0,0,0,0,1,Sin dato,6,109,109,570,13,['Sin dato'],1,D,794315e17483121a7eda4f4754fcba00ffa769ee36aee5e929bbd4cb34fb4c4c,19/02/2023 19:04:00,19/02/2023 19:33:50,19/02/2023 19:34:33,CASILLA,Móvil,Acta PREP,1
'280754C0300','280754C03002',28,TAMAULIPAS,001,Nuevo Laredo,0754,03,C,00,1,2,450,129,3,132,20,3,1,1,3,99,0,0,0,0,2,0,3,132,132,570,19, ,1,I,d8997c9664cc0c549edbf4f4519587784f3091af88f6285d924434d4bb7a88db,19/02/2023 18:46:50,19/02/2023 19:03:44,19/02/2023 19:04:24,CASILLA,Móvil,Acta PREP,1
'280754E0100','280754E01002',28,TAMAULIPAS,001,Nuevo Laredo,0754,01,E,00,1,2,485,122,1,123,21,3,1,8,2,80,0,1,0,0,2,0,5,123,123,596,15, ,1,F,e671b96a01495bc9be6ed59c7cc028f73d0ae6068c90a5520d2bcf1c1925b67b,19/02/2023 19:25:34,19/02/2023 20:00:15,19/02/2023 20:00:57,CASILLA,Móvil,Acta PREP,1
'280754E0101','280754E01012',28,TAMAULIPAS,001,Nuevo Laredo,0754,01,E,01,1,2,486,119,2,121,21,6,2,2,5,78,0,1,0,0,4,0,2,121,121,595,18, ,1,,8498a34205ea2414a9ba90356cecdfdf4b64367ba5ce2edcce80da3f98ec1422,19/02/2023 19:14:23,19/02/2023 19:51:19,19/02/2023 19:51:43,CASILLA,Móvil,Acta PREP,1
'280755B0100','280755B01002',28,TAMAULIPAS,001,Nuevo Laredo,0755,01,B,00,1,2,577,121,1,122,10,4,2,4,3,91,0,0,0,0,3,0,5,122,122,687,7, ,1,I,3adbb438d73005fb44fff574e4246c6ad623f48af6bbf0ee01d0f84266e1d95e,19/02/2023 19:38:26,19/02/2023 21:34:05,19/02/2023 21:34:50,CASILLA,Móvil,Acta PREP,1
'280755C0100','280755C01002',28,TAMAULIPAS,001,Nuevo Laredo,0755,01,C,00,1,2,572,122,2,Sin dato,19,5,1,3,2,80,0,2,Sin dato,Sin dato,4,Sin dato,8,124,124,686,3,['Sin dato'],1,I,be350e1c0b70a1c90e8da4404c2b2cf6a281d50573caae0d1efd8586c930bedb,19/02/2023 19:09:51,19/02/2023 19:42:56,19/02/2023 19:43:27,CASILLA,Móvil,Acta PREP,1
'280756B0100','280756B01002',28,TAMAULIPAS,001,Nuevo Laredo,0756,01,B,00,1,2,595,108,3,111,16,3,0,4,3,81,0,1,0,0,2,0,1,111,111,694,4, ,1,,6dce0783708cea22a87da2024018bdad6f779acad1f7370aea97fca42f38ab11,19/02/2023 18:59:11,19/02/2023 19:52:42,19/02/2023 19:53:11,CASILLA,Móvil,Acta PREP,1
'280756C0100','280756C01002',28,TAMAULIPAS,001,Nuevo Laredo,0756,01,C,00,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,694,20, ,-,-,-,-,-,-,-,-,-,-
'280756C0200','280756C02002',28,TAMAULIPAS,001,Nuevo Laredo,0756,02,C,00,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,693,11, ,-,-,-,-,-,-,-,-,-,-
'280756C0300','280756C03002',28,TAMAULIPAS,001,Nuevo Laredo,0756,03,C,00,1,2,Sin dato,Sin dato,Sin dato,Sin dato,18,3,2,3,2,82,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,1,Sin dato,111,693,6,['Sin dato'],1,D,589ea6b4726fdaea5c5f02b8ec25efd8dc271176ba36b7be83ed303ec66364a5,19/02/2023 19:04:39,19/02/2023 21:30:58,19/02/2023 21:31:25,CASILLA,Móvil,Acta PREP,1
'280756C0400','280756C04002',28,TAMAULIPAS,001,Nuevo Laredo,0756,04,C,00,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,693,12, ,-,-,-,-,-,-,-,-,-,-
'280756C0500','280756C05002',28,TAMAULIPAS,001,Nuevo Laredo,0756,05,C,00,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,693,8, ,-,-,-,-,-,-,-,-,-,-
'280756C0600','280756C06002',28,TAMAULIPAS,001,Nuevo Laredo,0756,06,C,00,1,2,612,91,2,93,13,2,1,1,1,69,0,0,1,1,2,0,2,93,93,693,9, ,1,,347ac782faf1cf426efa8387fe8b7b0b86929964039efc562eeccbc2bcda37cc,19/02/2023 19:07:39,19/02/2023 19:32:50,19/02/2023 19:33:18,CASILLA,Móvil,Acta PREP,1
'280757B0100','280757B01002',28,TAMAULIPAS,001,Nuevo Laredo,0757,01,B,00,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,601,7, ,-,-,-,-,-,-,-,-,-,-
